,0
0,2.3125
1,5.78125
2,5.78125
3,2.5625
4,1.28125
5,1.765625
6,5.0625
7,17.578125
8,23.90625
9,5.78125
10,0.78125
11,0.203125
12,0.765625
13,0.125
14,0.390625
15,13.8125
16,20.0
17,3.53125
18,8.40625
19,51.25
20,1.25
21,2.390625
22,1.125
23,6.25
24,0.15625
25,6.265625
26,0.015625
27,2.703125
28,0.125
29,1.5625
30,3.8125
31,4.015625
32,8.5
33,10.125
34,13.28125
35,0.578125
36,7.578125
37,4.578125
38,2.5625
39,4.65625
40,6.25
41,9.53125
42,7.53125
43,3.90625
44,31.953125
45,0.203125
46,6.40625
47,1.328125
48,1.65625
49,12.8125
50,6.125
51,0.40625
52,5.625
53,0.390625
54,4.78125
55,17.5625
56,6.953125
57,0.390625
58,8.140625
59,21.578125
60,6.0625
61,69.953125
62,8.125
63,7.25
64,0.828125
65,10.765625
66,1.28125
67,1.953125
68,4.0625
69,21.390625
70,14.078125
71,1.25
72,0.265625
73,2.5
74,1.140625
75,9.0
76,27.265625
77,7.203125
78,1.828125
79,3.578125
80,11.3125
81,0.703125
82,2.3125
83,0.53125
84,44.40625
85,4.953125
86,0.15625
87,17.3125
88,0.78125
89,6.0625
90,24.03125
91,0.015625
92,1.25
93,0.8125
94,1.90625
95,1.578125
96,0.8125
97,0.390625
98,0.140625
99,0.28125
