,0
0,874.828125
1,50.0
2,359.828125
3,120.0625
4,274.25
5,43.5625
6,0.828125
7,4.0625
8,63.578125
9,3.03125
10,28.0625
11,111.078125
12,4.765625
13,235.140625
14,16.5625
15,291.078125
16,84.78125
17,265.625
18,24.015625
19,11.25
20,24.90625
21,1.0625
22,43.015625
23,277.625
24,179.453125
25,58.703125
26,305.453125
27,172.28125
28,22.703125
29,8.5625
30,25.0
31,96.40625
32,29.25
33,10.703125
34,257.65625
35,65.890625
36,10.203125
37,5.078125
38,428.5625
39,24.15625
40,243.390625
41,10.625
42,169.703125
43,102.90625
44,315.953125
45,149.0625
46,77.328125
47,36.90625
48,18.203125
49,89.453125
50,102.578125
51,7.53125
52,71.578125
53,52.65625
54,30.03125
55,37.265625
56,205.0625
57,165.390625
58,13.0
59,4.625
60,40.328125
61,20.25
62,75.0625
63,221.265625
64,113.28125
65,288.90625
66,88.890625
67,41.828125
68,172.890625
69,132.03125
70,223.578125
71,44.140625
72,181.953125
73,57.125
74,76.5625
75,37.390625
76,47.65625
77,90.15625
78,289.890625
79,206.640625
80,17.578125
81,20.078125
82,109.65625
83,129.453125
84,117.828125
85,52.65625
86,50.453125
87,6.953125
88,204.0625
89,3.40625
90,350.5
91,131.703125
92,315.3125
93,291.953125
94,107.3125
95,36.0625
96,97.703125
97,111.3125
98,143.640625
99,100.15625
