,0
0,0.765625
1,11.328125
2,38.515625
3,2.65625
4,2.265625
5,5.3125
6,0.28125
7,1.328125
8,2.890625
9,56.25
10,23.90625
11,2.890625
12,16.0
13,0.78125
14,3.515625
15,16.390625
16,2.53125
17,14.078125
18,6.90625
19,75.78125
20,12.390625
21,4.578125
22,27.640625
23,10.890625
24,0.265625
25,6.265625
26,2.140625
27,3.203125
28,2.8125
29,0.53125
30,5.890625
31,3.65625
32,0.015625
33,19.625
34,0.078125
35,2.265625
36,8.515625
37,0.40625
38,0.953125
39,1.90625
40,1.0625
41,47.3125
42,7.453125
43,48.265625
44,19.53125
45,5.515625
46,23.125
47,2.5625
48,10.953125
49,1.953125
50,1.703125
51,4.0625
52,9.125
53,5.703125
54,3.3125
55,24.25
56,1.515625
57,2.65625
58,18.078125
59,22.65625
60,1.40625
61,17.5625
62,0.3125
63,1.8125
64,4.078125
65,4.65625
66,10.53125
67,1.28125
68,2.3125
69,0.0625
70,2.453125
71,0.078125
72,0.0
73,0.78125
74,10.328125
75,42.390625
76,2.328125
77,0.703125
78,0.640625
79,6.625
80,25.625
81,16.0
82,3.078125
83,1.25
84,1.953125
85,2.703125
86,0.28125
87,0.78125
88,20.390625
89,21.40625
90,12.625
91,14.3125
92,2.328125
93,7.453125
94,1.65625
95,0.03125
96,15.953125
97,1.28125
98,1.28125
99,18.015625
