,0
0,202.890625
1,74.640625
2,55.53125
3,99.765625
4,190.515625
5,84.40625
6,36.078125
7,3.90625
8,2.3125
9,302.140625
10,2.640625
11,8.515625
12,121.640625
13,75.65625
14,36.140625
15,154.578125
16,28.40625
17,34.953125
18,73.203125
19,63.78125
20,29.140625
21,437.5625
22,32.515625
23,174.640625
24,0.453125
25,77.03125
26,58.0
27,204.5
28,45.78125
29,79.15625
30,91.015625
31,165.625
32,203.078125
33,170.15625
34,78.90625
35,136.65625
36,247.203125
37,24.453125
38,22.15625
39,8.28125
40,146.640625
41,358.28125
42,288.453125
43,484.0625
44,1.625
45,652.8125
46,95.3125
47,0.703125
48,551.265625
49,13.15625
50,30.390625
51,2.890625
52,227.078125
53,19.65625
54,393.828125
55,187.65625
56,22.890625
57,170.0
58,130.5
59,48.03125
60,15.015625
61,395.125
62,390.078125
63,81.53125
64,34.53125
65,47.53125
66,221.265625
67,55.390625
68,142.765625
69,235.140625
70,368.890625
71,49.515625
72,71.578125
73,13.515625
74,188.5
75,5.28125
76,33.53125
77,69.828125
78,260.328125
79,28.828125
80,141.828125
81,138.125
82,208.890625
83,19.0625
84,667.265625
85,41.703125
86,63.953125
87,138.078125
88,14.703125
89,32.5625
90,94.203125
91,11.640625
92,262.8125
93,31.328125
94,26.5625
95,104.03125
96,87.953125
97,59.3125
98,278.125
99,53.828125
