,0
0,46.953125
1,110.5
2,361.953125
3,181.515625
4,160.03125
5,186.0625
6,282.125
7,66.640625
8,126.953125
9,41.703125
10,203.125
11,16.0
12,413.828125
13,274.765625
14,110.703125
15,188.5
16,2.0
17,26.703125
18,54.015625
19,100.0625
20,10.15625
21,94.5625
22,430.015625
23,20.40625
24,493.953125
25,28.125
26,92.453125
27,31.25
28,20.3125
29,39.3125
30,99.40625
31,133.515625
32,45.78125
33,16.140625
34,94.78125
35,162.140625
36,147.265625
37,141.78125
38,11.03125
39,99.53125
40,86.265625
41,79.890625
42,25.28125
43,117.203125
44,76.640625
45,122.65625
46,87.078125
47,196.703125
48,9.828125
49,1.328125
50,53.65625
51,32.03125
52,78.40625
53,23.65625
54,308.5
55,143.078125
56,90.3125
57,15.953125
58,1.015625
59,153.140625
60,223.515625
61,11.078125
62,124.28125
63,523.953125
64,169.765625
65,159.390625
66,16.65625
67,88.890625
68,3.203125
69,81.53125
70,21.53125
71,1.15625
72,297.90625
73,19.15625
74,225.625
75,147.015625
76,18.625
77,135.140625
78,97.90625
79,242.65625
80,76.578125
81,29.453125
82,61.890625
83,58.0
84,89.078125
85,580.703125
86,262.65625
87,1.890625
88,142.53125
89,102.65625
90,153.125
91,271.015625
92,35.28125
93,424.140625
94,120.625
95,7.578125
96,8.125
97,46.515625
98,159.40625
99,55.125
