,0
0,4.0
1,6.8125
2,11.5625
3,2.640625
4,1.625
5,0.78125
6,61.625
7,2.53125
8,1.890625
9,13.203125
10,0.203125
11,15.015625
12,65.0
13,5.890625
14,0.203125
15,14.515625
16,24.03125
17,17.78125
18,7.0625
19,0.0
20,1.015625
21,3.25
22,28.40625
23,2.828125
24,30.390625
25,0.3125
26,4.765625
27,27.625
28,1.40625
29,4.765625
30,0.3125
31,52.0
32,16.390625
33,0.90625
34,1.625
35,0.15625
36,0.5625
37,1.40625
38,0.453125
39,43.015625
40,0.28125
41,2.25
42,0.265625
43,1.0
44,0.28125
45,20.25
46,21.25
47,0.90625
48,0.140625
49,0.28125
50,76.640625
51,2.265625
52,2.5
53,0.15625
54,0.0625
55,8.125
56,2.28125
57,3.125
58,0.78125
59,12.828125
60,1.625
61,0.765625
62,3.578125
63,1.65625
64,1.015625
65,1.0
66,5.078125
67,25.0
68,9.640625
69,2.265625
70,15.90625
71,4.90625
72,17.265625
73,4.78125
74,30.78125
75,6.25
76,34.53125
77,1.765625
78,0.390625
79,2.0
80,83.828125
81,1.0
82,11.640625
83,5.453125
84,2.5
85,2.265625
86,0.578125
87,3.765625
88,0.390625
89,17.578125
90,4.515625
91,8.703125
92,1.328125
93,0.578125
94,0.40625
95,3.90625
96,9.765625
97,23.3125
98,1.125
99,8.5625
