,0
0,9.25
1,1.015625
2,0.828125
3,0.140625
4,9.640625
5,7.015625
6,3.0625
7,0.0625
8,2.390625
9,1.0625
10,2.03125
11,18.578125
12,3.203125
13,3.0625
14,0.265625
15,10.40625
16,3.0625
17,0.3125
18,2.8125
19,28.0625
20,0.3125
21,3.640625
22,6.390625
23,0.78125
24,16.765625
25,6.390625
26,5.890625
27,1.015625
28,2.53125
29,0.78125
30,0.0625
31,1.015625
32,7.578125
33,4.0625
34,9.25
35,7.25
36,18.078125
37,6.640625
38,4.015625
39,1.0
40,1.828125
41,0.8125
42,0.15625
43,36.765625
44,3.078125
45,20.5
46,1.390625
47,0.265625
48,0.078125
49,1.65625
50,5.0625
51,0.078125
52,23.90625
53,8.5
54,1.890625
55,21.8125
56,12.8125
57,6.5
58,3.0625
59,5.5625
60,0.625
61,8.265625
62,4.140625
63,86.0625
64,25.65625
65,1.515625
66,7.25
67,0.015625
68,24.953125
69,3.03125
70,0.828125
71,3.25
72,4.078125
73,2.125
74,42.578125
75,13.28125
76,8.03125
77,22.65625
78,35.28125
79,4.765625
80,7.53125
81,4.0
82,11.53125
83,0.03125
84,9.015625
85,31.703125
86,15.390625
87,0.3125
88,1.140625
89,1.953125
90,6.8125
91,0.03125
92,24.90625
93,0.953125
94,10.890625
95,4.53125
96,0.203125
97,0.765625
98,1.265625
99,10.15625
