,0
0,82.0625
1,6.203125
2,92.890625
3,458.453125
4,112.890625
5,161.03125
6,19.703125
7,152.5
8,17.015625
9,403.28125
10,83.8125
11,28.90625
12,104.0625
13,123.828125
14,203.90625
15,91.40625
16,50.515625
17,144.125
18,198.125
19,100.8125
20,86.265625
21,241.515625
22,50.328125
23,9.640625
24,357.828125
25,15.78125
26,19.140625
27,51.53125
28,23.140625
29,86.515625
30,308.078125
31,352.125
32,134.140625
33,90.140625
34,181.953125
35,359.140625
36,161.515625
37,9.140625
38,313.625
39,46.703125
40,125.5625
41,90.265625
42,116.140625
43,406.40625
44,71.703125
45,123.828125
46,53.125
47,141.828125
48,90.390625
49,52.328125
50,56.953125
51,265.078125
52,175.8125
53,111.515625
54,4.0
55,459.53125
56,44.140625
57,63.578125
58,12.078125
59,8.515625
60,53.890625
61,330.5
62,67.640625
63,175.890625
64,69.53125
65,35.28125
66,206.3125
67,48.828125
68,230.703125
69,38.03125
70,245.5625
71,39.078125
72,35.703125
73,38.40625
74,48.625
75,115.8125
76,19.203125
77,75.3125
78,16.765625
79,41.90625
80,93.125
81,56.078125
82,48.828125
83,56.5625
84,12.125
85,506.640625
86,96.953125
87,128.828125
88,468.40625
89,296.328125
90,277.390625
91,306.40625
92,45.078125
93,203.078125
94,26.28125
95,200.28125
96,8.03125
97,61.953125
98,200.5625
99,18.640625
