,0
0,0.0
1,1.90625
2,0.015625
3,0.0
4,0.015625
5,0.265625
6,0.078125
7,0.3125
8,1.25
9,0.078125
10,0.015625
11,0.53125
12,0.3125
13,1.265625
14,1.015625
15,0.265625
16,0.140625
17,0.015625
18,0.015625
19,0.015625
20,0.578125
21,0.40625
22,0.0625
23,0.0625
24,0.0625
25,0.03125
26,0.015625
27,0.03125
28,0.015625
29,0.03125
30,0.0625
31,0.015625
32,0.015625
33,0.140625
34,0.078125
35,1.28125
36,0.203125
37,0.015625
38,0.0625
39,2.5625
40,0.15625
41,0.03125
42,1.015625
43,0.390625
44,0.03125
45,0.15625
46,1.328125
47,0.03125
48,0.0
49,0.0
50,0.015625
51,1.0
52,0.0625
53,0.25
54,0.0625
55,0.015625
56,0.078125
57,0.125
58,0.0625
59,0.15625
60,0.0
61,0.0
62,0.0625
63,0.265625
64,3.0625
65,0.015625
66,0.140625
67,2.390625
68,0.140625
69,0.015625
70,0.140625
71,0.078125
72,0.0625
73,0.0625
74,0.03125
75,0.25
76,0.125
77,0.078125
78,0.0625
79,0.0625
80,0.40625
81,0.015625
82,0.3125
83,0.0625
84,0.78125
85,0.15625
86,0.015625
87,0.0
88,0.015625
89,0.015625
90,0.140625
91,0.078125
92,0.078125
93,4.078125
94,0.0
95,0.15625
96,0.53125
97,0.0625
98,0.015625
99,0.078125
