,0
0,2.5625
1,8.5
2,0.78125
3,0.40625
4,0.0
5,0.0
6,1.90625
7,0.265625
8,0.015625
9,0.625
10,0.0
11,1.015625
12,0.0625
13,0.390625
14,0.0625
15,0.0
16,0.078125
17,0.5625
18,0.703125
19,0.0
20,0.15625
21,0.0625
22,0.03125
23,1.8125
24,2.890625
25,1.0
26,0.015625
27,0.78125
28,0.15625
29,3.8125
30,4.515625
31,7.03125
32,0.078125
33,0.5625
34,0.8125
35,2.703125
36,0.765625
37,0.3125
38,0.390625
39,0.03125
40,1.25
41,0.25
42,7.25
43,4.53125
44,3.03125
45,0.5
46,0.15625
47,0.0
48,3.53125
49,0.078125
50,0.5625
51,0.140625
52,4.65625
53,0.8125
54,0.265625
55,1.0
56,0.0
57,4.765625
58,0.578125
59,3.15625
60,0.0
61,6.203125
62,0.203125
63,9.765625
64,0.015625
65,0.453125
66,0.5625
67,26.40625
68,0.3125
69,45.765625
70,0.0
71,22.65625
72,4.015625
73,1.765625
74,0.078125
75,2.890625
76,0.015625
77,0.078125
78,0.3125
79,0.078125
80,0.015625
81,0.0
82,0.0625
83,0.0
84,0.40625
85,6.25
86,0.53125
87,0.265625
88,2.65625
89,0.5625
90,1.0625
91,3.578125
92,4.0
93,0.0
94,0.0
95,0.953125
96,2.703125
97,2.265625
98,5.890625
99,0.453125
