,0
0,4.694557188134526
1,0.0
2,8.0
3,2.9445571881345245
4,0.0
5,2.9445571881345245
6,2.9445571881345245
7,3.6945571881345263
8,0.0
9,1.0
10,7.444557188134528
11,4.0
12,3.6945571881345263
13,4.0
14,7.444557188134528
15,6.639114376269051
16,7.444557188134534
17,8.444557188134528
18,7.889114376269049
19,7.444557188134528
20,0.0
21,1.0
22,2.0
23,5.889114376269049
24,4.194557188134523
25,25.0
26,7.139114376269047
27,1.0
28,1.0
29,7.444557188134528
30,1.0
31,8.444557188134528
32,3.9445571881345245
33,5.0
34,6.639114376269051
35,3.9445571881345245
36,7.444557188134528
37,5.194557188134523
38,4.694557188134526
39,7.139114376269047
40,10.0
41,2.9445571881345245
42,8.0
43,2.9445571881345245
44,4.194557188134523
45,3.9445571881345245
46,5.0
47,1.0
48,4.0
49,3.9445571881345245
50,1.0
51,3.9445571881345245
52,1.0
53,1.0
54,2.9445571881345245
55,3.9445571881345245
56,2.9445571881345245
57,3.6945571881345263
58,6.9445571881345245
59,3.9445571881345245
60,2.9445571881345245
61,3.6945571881345263
62,2.0
63,2.9445571881345245
64,0.0
65,6.9445571881345245
66,5.0
67,1.0
68,0.0
69,1.0
70,2.0
71,4.0
72,1.0
73,2.9445571881345245
74,4.0
75,7.444557188134534
76,2.9445571881345245
77,11.0625
78,4.0
79,6.9445571881345245
80,1.0
81,1.0
82,2.9445571881345245
83,3.9445571881345245
84,0.0
85,8.194557188134523
86,2.0
87,3.6945571881345263
88,10.444557188134535
89,8.194557188134523
90,4.694557188134526
91,7.139114376269047
92,1.0
93,2.9445571881345245
94,5.889114376269049
95,1.0
96,7.444557188134528
97,10.0
98,6.639114376269051
99,1.0
